,Unnamed: 0,raceId,year,circuitId,name,date,driverId,constructorId,laps,time,statusId,driver_name,TrackTemp,Rain,Heat Index,Wind,pitstop time,# of pitstops,qualifying_position
73,73,1066,2021,71,Russian Grand Prix,2021-09-26,1,Mercedes,53,1:30:41.001,1,hamilton,Ideal,True,Fine,Calm,59.923,2,4
74,74,1067,2021,5,Turkish Grand Prix,2021-10-10,822,Mercedes,58,1:31:04.103,1,bottas,Cold,False,Fine,Light Air,22.962,1,2
75,75,1069,2021,69,United States Grand Prix,2021-10-24,830,Red Bull,56,1:34:36.552,1,max_verstappen,Ideal,False,Caution,Light Air,47.779,2,1
76,76,1070,2021,32,Mexico City Grand Prix,2021-11-07,830,Red Bull,71,1:38:39.086,1,max_verstappen,Hot,False,Fine,Calm,21.908,1,3
77,77,1071,2021,18,São Paulo Grand Prix,2021-11-14,1,Mercedes,71,1:32:22.851,1,hamilton,Hot,False,Fine,Calm,81.924,4,1
78,78,1051,2021,78,Qatar Grand Prix,2021-11-21,1,Mercedes,57,1:24:28.471,1,hamilton,Ideal,True,Caution,Calm,50.616,2,1
79,79,1072,2021,77,Saudi Arabian Grand Prix,2021-12-05,1,Mercedes,50,2:06:15.118,1,hamilton,Ideal,False,Extreme Caution,Calm,2103.11,3,1
80,80,1073,2021,24,Abu Dhabi Grand Prix,2021-12-12,830,Red Bull,58,1:30:17.345,1,max_verstappen,Ideal,False,Fine,Calm,64.476,3,1
81,81,1074,2022,3,Bahrain Grand Prix,2022-03-20,844,Ferrari,57,1:37:33.584,1,leclerc,Ideal,False,Fine,Calm,74.152,3,1
82,82,1075,2022,77,Saudi Arabian Grand Prix,2022-03-27,830,Red Bull,50,1:24:19.293,1,max_verstappen,Ideal,False,Fine,Light Breeze,20.731,1,4
83,83,1076,2022,1,Australian Grand Prix,2022-04-10,844,Ferrari,58,1:27:46.548,1,leclerc,Ideal,False,Caution,Light Breeze,17.973,1,1
84,84,1077,2022,21,Emilia Romagna Grand Prix,2022-04-24,830,Red Bull,63,1:32:07.986,1,max_verstappen,Cold,False,Fine,Light Air,59.943,2,1
85,85,1078,2022,79,Miami Grand Prix,2022-05-08,830,Red Bull,57,1:34:24.258,1,max_verstappen,Hot,True,Extreme Caution,Light Breeze,18.798,1,3
86,86,1079,2022,4,Spanish Grand Prix,2022-05-22,830,Red Bull,66,1:37:20.475,1,max_verstappen,Hot,False,Extreme Caution,Light Breeze,66.08,3,2
87,87,1080,2022,6,Monaco Grand Prix,2022-05-29,815,Red Bull,64,1:56:30.265,1,perez,Ideal,True,Fine,Light Air,1221.007,3,3
88,88,1081,2022,73,Azerbaijan Grand Prix,2022-06-12,830,Red Bull,51,1:34:05.941,1,max_verstappen,Hot,False,Fine,Light Air,42.19,2,3
89,89,1082,2022,7,Canadian Grand Prix,2022-06-19,830,Red Bull,70,1:36:21.757,1,max_verstappen,Hot,False,Fine,Light Breeze,47.921,2,1
90,90,1083,2022,9,British Grand Prix,2022-07-03,832,Ferrari,52,2:17:50.311,1,sainz,Ideal,True,Fine,Light Air,3088.761,3,1
91,91,1084,2022,70,Austrian Grand Prix,2022-07-10,844,Ferrari,71,1:24:24.312,1,leclerc,Ideal,False,Fine,Light Air,64.501,3,2
92,92,1085,2022,34,French Grand Prix,2022-07-24,830,Red Bull,53,1:30:02.112,1,max_verstappen,Hot,False,Caution,Light Breeze,35.266,1,2
93,93,1086,2022,11,Hungarian Grand Prix,2022-07-31,830,Red Bull,70,1:39:35.912,1,max_verstappen,Ideal,True,Fine,Gentle Breeze,42.579,2,10
94,94,1087,2022,13,Belgian Grand Prix,2022-08-28,830,Red Bull,44,1:25:52.894,1,max_verstappen,Ideal,False,Fine,Light Air,45.204,2,1
95,95,1088,2022,39,Dutch Grand Prix,2022-09-04,830,Red Bull,72,1:36:42.773,1,max_verstappen,Ideal,False,Fine,Light Air,73.012,4,1
96,96,1089,2022,14,Italian Grand Prix,2022-09-11,830,Red Bull,53,1:20:27.511,1,max_verstappen,Hot,False,Caution,Light Air,47.882,2,2
97,97,1091,2022,15,Singapore Grand Prix,2022-10-02,815,Red Bull,59,2:02:20.238,1,perez,Ideal,True,Caution,Light Air,29.55,1,2
98,98,1092,2022,22,Japanese Grand Prix,2022-10-09,830,Red Bull,28,3:01:44.004,1,max_verstappen,Cold,True,Fine,Light Breeze,411.707,2,1
99,99,1093,2022,69,United States Grand Prix,2022-10-23,830,Red Bull,56,1:42:11.687,1,max_verstappen,Ideal,False,Caution,Gentle Breeze,56.12,2,3
100,100,1094,2022,32,Mexico City Grand Prix,2022-10-30,830,Red Bull,71,1:38:36.729,1,max_verstappen,Hot,False,Fine,Light Air,22.487,1,1
101,101,1095,2022,18,Brazilian Grand Prix,2022-11-13,847,Mercedes,71,1:38:34.044,1,russell,Cold,False,Fine,Light Air,47.001,2,3
102,102,1096,2022,24,Abu Dhabi Grand Prix,2022-11-20,830,Red Bull,58,1:27:45.914,1,max_verstappen,Ideal,False,Caution,Light Breeze,22.735,1,1
103,103,1098,2023,3,Bahrain Grand Prix,2023-03-05,830,Red Bull,57,1:33:56.736,1,max_verstappen,Ideal,False,Fine,Light Air,49.199,2,1
104,104,1099,2023,77,Saudi Arabian Grand Prix,2023-03-19,815,Red Bull,50,1:21:14.894,1,perez,Ideal,False,Caution,Light Air,20.715,1,1
105,105,1100,2023,1,Australian Grand Prix,2023-04-02,830,Red Bull,58,2:32:38.371,1,max_verstappen,Ideal,False,Fine,Light Air,3649.37,3,1
106,106,1101,2023,73,Azerbaijan Grand Prix,2023-04-30,815,Red Bull,51,1:32:42.436,1,perez,Hot,False,Fine,Light Air,20.389,1,3
107,107,1102,2023,79,Miami Grand Prix,2023-05-07,830,Red Bull,57,1:27:38.241,1,max_verstappen,Ideal,False,Caution,Gentle Breeze,22.688,1,9
108,108,1104,2023,6,Monaco Grand Prix,2023-05-28,830,Red Bull,78,1:48:51.980,1,max_verstappen,Ideal,True,Fine,Light Air,24.798,1,1
109,109,1105,2023,4,Spanish Grand Prix,2023-06-04,830,Red Bull,66,1:27:57.940,1,max_verstappen,Ideal,False,Fine,Light Breeze,44.598,2,1
110,110,1106,2023,7,Canadian Grand Prix,2023-06-18,830,Red Bull,70,1:33:58.348,1,max_verstappen,Ideal,False,Fine,Light Breeze,47.554,2,1
111,111,1107,2023,70,Austrian Grand Prix,2023-07-02,830,Red Bull,71,1:25:33.607,1,max_verstappen,Ideal,True,Fine,Light Air,80.703,4,1
112,112,1108,2023,9,British Grand Prix,2023-07-09,830,Red Bull,52,1:25:16.938,1,max_verstappen,Ideal,False,Fine,Light Breeze,29.056,1,1
113,113,1109,2023,11,Hungarian Grand Prix,2023-07-23,830,Red Bull,70,1:38:08.634,1,max_verstappen,Hot,False,Caution,Light Air,43.087,2,2
