,raceId,year,circuitId,name,date,driverId,constructorId,laps,time,statusId,driver_name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain
35,1024,2019,15,Singapore Grand Prix,2019-09-22,20,6,61,1:58:33.667,1,vettel,29.965161290322584,66.45548387096774,1.8574193548387095,35.752903225806456,False
36,1025,2019,71,Russian Grand Prix,2019-09-29,1,131,53,1:33:38.992,1,hamilton,22.02977099236641,67.41526717557252,1.8740458015267176,34.33206106870229,True
37,1026,2019,22,Japanese Grand Prix,2019-10-13,822,131,52,1:21:46.755,1,bottas,21.619354838709675,57.47822580645161,5.468548387096775,32.18387096774193,False
38,1027,2019,32,Mexican Grand Prix,2019-10-27,1,131,71,1:36:48.904,1,hamilton,23.203030303030303,46.28787878787879,1.3265151515151512,41.633333333333326,False
39,1031,2020,70,Austrian Grand Prix,2020-07-05,822,131,71,1:30:55.739,1,bottas,28.684166666666666,33.8325,1.8875,52.025,False
40,1028,2019,69,United States Grand Prix,2019-11-03,822,131,56,1:33:55.653,1,bottas,21.475572519083972,29.242748091603048,2.553435114503817,29.081679389312974,False
41,1029,2019,18,Brazilian Grand Prix,2019-11-17,830,9,71,1:33:14.678,1,max_verstappen,21.016793893129773,60.289312977099236,1.2877862595419847,46.45343511450381,False
42,1030,2019,24,Abu Dhabi Grand Prix,2019-12-01,1,131,55,1:34:05.715,1,hamilton,26.018045112781955,64.47142857142858,1.2646616541353384,29.566165413533835,False
43,1032,2020,70,Styrian Grand Prix,2020-07-12,1,131,71,1:22:50.683,1,hamilton,20.822499999999998,34.005,2.228333333333333,39.919999999999995,True
44,1033,2020,11,Hungarian Grand Prix,2020-07-19,1,131,70,1:36:12.473,1,hamilton,20.74179104477612,77.19253731343284,1.5597014925373132,27.129850746268662,True
45,1034,2020,9,British Grand Prix,2020-08-02,1,131,52,1:28:01.283,1,hamilton,21.29140625,44.16796874999999,3.1140625,40.6328125,False
46,1035,2020,9,70th Anniversary Grand Prix,2020-08-09,830,9,52,1:19:41.993,1,max_verstappen,25.287068965517243,58.55603448275862,2.236206896551724,43.227586206896554,False
47,1036,2020,4,Spanish Grand Prix,2020-08-16,1,131,66,1:31:45.279,1,hamilton,29.7968992248062,56.38449612403101,1.5449612403100776,47.55581395348836,False
48,1037,2020,13,Belgian Grand Prix,2020-08-30,1,131,44,1:24:08.761,1,hamilton,18.568595041322315,54.85289256198346,1.465289256198347,29.823966942148758,False
49,1038,2020,14,Italian Grand Prix,2020-09-06,842,213,53,1:47:06.056,1,gasly,28.090909090909093,40.12447552447553,1.520979020979021,41.201398601398594,False
50,1039,2020,76,Tuscan Grand Prix,2020-09-13,1,131,59,2:19:35.060,1,hamilton,30.169886363636362,39.94431818181818,2.3647727272727277,43.10227272727273,False
51,1040,2020,71,Russian Grand Prix,2020-09-27,822,131,53,1:34:00.364,1,bottas,28.806060606060612,51.362878787878785,1.428787878787879,40.342424242424244,False
52,1041,2020,20,Eifel Grand Prix,2020-10-11,1,131,60,1:35:49.641,1,hamilton,9.499999999999998,59.40408163265305,1.6173469387755104,16.360204081632652,True
