,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Unnamed: 0.1,Unnamed: 0,year,name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain,Temperature (F),Heat Index
51,23833,991,815,10,11,8,12,12,12,0.0,56,+44.725,5781105,54,10,1:37.673,200.911,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
52,23834,991,838,1,2,14,13,13,13,0.0,56,+49.373,5785753,54,13,1:38.137,199.961,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
53,23835,991,840,3,18,18,14,14,14,0.0,56,+55.490,5791870,54,17,1:38.500,199.224,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
54,23836,991,845,3,35,16,15,15,15,0.0,56,+58.241,5794621,47,18,1:38.624,198.973,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
55,23837,991,828,15,9,20,16,16,16,0.0,56,+1:02.604,5798984,52,16,1:38.386,199.455,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
56,23838,991,154,210,8,10,17,17,17,0.0,56,+1:05.296,5801676,51,8,1:37.410,201.453,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
57,23839,991,842,5,10,17,18,18,18,0.0,56,+1:06.330,5802710,54,15,1:38.367,199.493,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
58,23840,991,844,15,16,19,19,19,19,0.0,56,+1:22.575,5818955,23,19,1:38.808,198.603,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
59,23841,991,843,5,28,15,20,20,20,0.0,51,\N,\N,50,20,1:39.376,197.468,130,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
60,23842,992,1,131,44,2,1,1,1,25.0,51,1:43:44.291,6224291,35,2,1:45.412,205.012,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
61,23843,992,8,6,7,6,2,2,2,18.0,51,+2.460,6226751,50,7,1:46.523,202.874,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
62,23844,992,815,10,11,8,3,3,3,15.0,51,+4.024,6228315,51,6,1:46.206,203.480,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
63,23845,992,20,6,5,1,4,4,4,12.0,51,+5.329,6229620,38,4,1:45.530,204.783,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
64,23846,992,832,4,55,9,5,5,5,10.0,51,+7.515,6231806,50,9,1:46.856,202.242,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
65,23847,992,844,15,16,13,6,6,6,8.0,51,+9.158,6233449,31,11,1:47.403,201.212,1,3,3,2018,Azerbaijan Grand Prix,16.66140350877193,45.651754385964914,2.22280701754386,25.25175438596491,False,61.990526315789474,Caution
